epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9293,1.47852,3.38141,3.50809,1.49766,0.49722,0.11021,0.1345,0.06414,0.49779,0.10727,0.13392,0.05643,1.6637,3.24759,3.20269,1.67822,0.00330864,0.00330864,0.00330864
2,60.7667,1.43253,2.82051,2.55084,1.45515,0.30395,0.3288,0.23305,0.1152,0.32134,0.30719,0.23414,0.10275,1.63832,2.84953,2.58872,1.67289,0.00662882,0.00662882,0.00662882
3,86.8934,1.46939,2.79478,2.24734,1.4599,0.20219,0.28498,0.17982,0.09005,0.19193,0.27723,0.16835,0.07613,1.76208,3.13787,3.08732,1.8456,0.00993581,0.00993581,0.00993581
4,112.943,1.52694,2.85444,2.19648,1.50106,0.3678,0.22048,0.22128,0.11385,0.32074,0.23922,0.22393,0.09761,1.79098,4.13209,2.55816,1.78316,0.0099406,0.0099406,0.0099406
5,139.328,1.53001,2.81178,2.08738,1.50332,0.30829,0.31728,0.2333,0.11181,0.32507,0.30128,0.22428,0.09195,1.82086,3.34016,2.52384,1.85234,0.0099208,0.0099208,0.0099208
6,165.615,1.47878,2.7101,1.95663,1.46434,0.40826,0.37848,0.35048,0.17592,0.37253,0.35405,0.31534,0.1501,1.74076,3.13088,2.17532,1.75114,0.009901,0.009901,0.009901
7,192.208,1.44475,2.66312,1.85972,1.45141,0.45225,0.32864,0.35663,0.18308,0.43164,0.308,0.32173,0.13763,1.68437,3.10831,2.0992,1.67616,0.0098812,0.0098812,0.0098812
8,218.78,1.41953,2.56591,1.78507,1.43739,0.45273,0.41596,0.40031,0.20419,0.48225,0.39674,0.39096,0.18385,1.62274,2.73175,2.02106,1.70834,0.0098614,0.0098614,0.0098614
9,245.492,1.4119,2.56123,1.74865,1.425,0.4178,0.47689,0.42125,0.2142,0.42068,0.44158,0.39571,0.17197,1.5953,2.8958,1.92465,1.64024,0.0098416,0.0098416,0.0098416
10,272.362,1.38294,2.48642,1.65488,1.40209,0.51162,0.45134,0.4669,0.25469,0.51513,0.43119,0.45231,0.21715,1.59405,2.74522,1.955,1.67495,0.0098218,0.0098218,0.0098218
11,299.437,1.36125,2.46631,1.59519,1.38727,0.59442,0.50734,0.54528,0.29279,0.58781,0.50306,0.54027,0.25789,1.52234,2.54903,1.70053,1.58546,0.009802,0.009802,0.009802
12,326.229,1.33256,2.41171,1.53787,1.36905,0.5619,0.45882,0.4761,0.2534,0.50767,0.47631,0.46834,0.21352,1.59872,2.80621,1.89994,1.68872,0.0097822,0.0097822,0.0097822
13,352.944,1.33219,2.38556,1.51597,1.36515,0.53685,0.46246,0.48353,0.25152,0.51599,0.48425,0.48767,0.23626,1.53542,2.4778,1.79448,1.59873,0.0097624,0.0097624,0.0097624
14,379.751,1.32868,2.37617,1.47446,1.35914,0.68885,0.51502,0.59234,0.32672,0.69233,0.48055,0.55875,0.26984,1.46667,2.44171,1.60049,1.52173,0.0097426,0.0097426,0.0097426
15,406.623,1.29449,2.32199,1.42042,1.34419,0.59642,0.58742,0.57362,0.31408,0.59734,0.59415,0.56862,0.27649,1.42451,2.35967,1.57257,1.49365,0.0097228,0.0097228,0.0097228
16,433.583,1.26863,2.29979,1.39277,1.32235,0.53737,0.49071,0.46081,0.24327,0.502,0.48931,0.4422,0.21882,1.53765,2.70237,1.9599,1.58232,0.009703,0.009703,0.009703
17,460.357,1.26696,2.27968,1.33868,1.32111,0.59451,0.66574,0.65928,0.36098,0.60328,0.6719,0.65825,0.32444,1.44028,2.27595,1.40715,1.49114,0.0096832,0.0096832,0.0096832
18,487.289,1.24206,2.23904,1.29696,1.29595,0.59889,0.62315,0.63565,0.36638,0.58685,0.60337,0.62669,0.30771,1.45186,2.36922,1.46846,1.52422,0.0096634,0.0096634,0.0096634
19,514.122,1.23848,2.25413,1.30156,1.30014,0.58412,0.57061,0.60968,0.34981,0.58938,0.55963,0.59776,0.29998,1.48773,2.39851,1.46186,1.52034,0.0096436,0.0096436,0.0096436
20,540.906,1.22917,2.21315,1.2555,1.29344,0.6697,0.55911,0.64509,0.36777,0.64949,0.58116,0.64796,0.31103,1.43434,2.36302,1.41616,1.51804,0.0096238,0.0096238,0.0096238
21,567.773,1.21132,2.18773,1.21894,1.28073,0.70585,0.64662,0.71219,0.40921,0.71359,0.65321,0.7226,0.36345,1.36237,2.22402,1.35246,1.43894,0.009604,0.009604,0.009604
22,595.924,1.21005,2.18382,1.21512,1.27617,0.66615,0.64623,0.68592,0.3898,0.65351,0.63587,0.66697,0.34007,1.44287,2.28508,1.34913,1.51432,0.0095842,0.0095842,0.0095842
